mark,model,generation_name,year,mileage,vol_engine,fuel,price
audi,a3,gen-8p-2003-2012,2008,296000,1968,Diesel,26500
audi,a3,gen-8p-2003-2012,2007,179722,1984,LPG,16999
audi,a3,gen-8p-2003-2012,2009,190000,1968,Diesel,27900
audi,a3,gen-8p-2003-2012,2003,291000,1968,Diesel,7200
audi,a3,gen-8p-2003-2012,2008,200000,1390,Gasoline,24999
audi,a3,gen-8p-2003-2012,2006,188000,1595,Gasoline,15500
audi,a3,gen-8p-2003-2012,2008,179569,1390,Gasoline,25900
audi,a3,gen-8p-2003-2012,2009,234000,1968,Diesel,28999
audi,a3,gen-8p-2003-2012,2009,94765,1798,Gasoline,29999
audi,a3,gen-8p-2003-2012,2006,229000,3189,LPG,27900
audi,a3,gen-8p-2003-2012,2008,220000,1896,Diesel,25999
audi,a3,gen-8p-2003-2012,2009,242000,1896,Diesel,24900
audi,a3,gen-8p-2003-2012,2003,260000,1595,Gasoline,10900
audi,a3,gen-8p-2003-2012,2007,263923,1896,Diesel,16900
audi,a3,gen-8p-2003-2012,2007,242000,1595,Gasoline,18300
audi,a3,gen-8p-2003-2012,2010,208000,1968,Diesel,29500
audi,a3,gen-8p-2003-2012,2009,139800,1595,Gasoline,35800
audi,a3,gen-8p-2003-2012,2010,241000,1968,Diesel,29900
audi,a3,gen-8p-2003-2012,2006,260000,1896,Diesel,20900
audi,a3,gen-8p-2003-2012,2008,163053,1595,Gasoline,25900
audi,a3,gen-8p-2003-2012,2009,279000,1390,Gasoline,27900
audi,a3,gen-8p-2003-2012,2007,357000,1968,Diesel,25999
audi,a3,gen-8p-2003-2012,2006,297000,1896,Diesel,18500
audi,a3,gen-8p-2003-2012,2004,189294,1600,LPG,11900
audi,a3,gen-8p-2003-2012,2007,195000,1595,Gasoline,18000
audi,a3,gen-8p-2003-2012,2007,207000,1968,Diesel,19900
audi,a3,gen-8p-2003-2012,2010,255914,1968,Diesel,37800
audi,a3,gen-8p-2003-2012,2007,244000,1798,Gasoline,21700
audi,a3,gen-8p-2003-2012,2009,255000,1968,Diesel,27900
audi,a3,gen-8p-2003-2012,2007,166151,1595,Gasoline,19999
audi,a3,gen-8p-2003-2012,2007,180878,1595,Gasoline,22800
audi,a3,gen-8p-2003-2012,2010,197800,1968,Diesel,33900
audi,a3,gen-8p-2003-2012,2004,198000,1984,Gasoline,17500
audi,a3,gen-8p-2003-2012,2010,139000,1798,Gasoline,27900
